# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-07-31 17:35:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 414525074360601 Local number, Sv-535, Woodbourne NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 414525074360601
#            TS   parameter     statistic     Description
#        106190       72019     00003     Depth to water level, feet below land surface (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	106190_72019_00003	106190_72019_00003_cd
#5s	15s	20d	14n	10s
USGS	414525074360601	2009-01-01	7.55	A
USGS	414525074360601	2009-01-02	7.63	A
USGS	414525074360601	2009-01-03	7.78	A
USGS	414525074360601	2009-01-04	7.94	A
USGS	414525074360601	2009-01-05	8.08	A
USGS	414525074360601	2009-01-06	8.21	A
USGS	414525074360601	2009-01-07	8.29	A
USGS	414525074360601	2009-01-08	8.39	A
USGS	414525074360601	2009-01-09	8.52	A
USGS	414525074360601	2009-01-10	8.63	A
USGS	414525074360601	2009-01-11	8.71	A
USGS	414525074360601	2009-01-12	8.80	A
USGS	414525074360601	2009-01-13	8.87	A
USGS	414525074360601	2009-01-14	8.94	A
USGS	414525074360601	2009-01-15	9.01	A
USGS	414525074360601	2009-01-16	9.08	A
USGS	414525074360601	2009-01-17	9.12	A
USGS	414525074360601	2009-01-18	9.16	A
USGS	414525074360601	2009-01-19	9.21	A
USGS	414525074360601	2009-01-20	9.26	A
USGS	414525074360601	2009-01-21	9.33	A
USGS	414525074360601	2009-01-22	9.37	A
USGS	414525074360601	2009-01-23	9.41	A
USGS	414525074360601	2009-01-24	9.46	A
USGS	414525074360601	2009-01-25	9.50	A
USGS	414525074360601	2009-01-26	9.53	A
USGS	414525074360601	2009-01-27	9.57	A
USGS	414525074360601	2009-01-28	9.58	A
USGS	414525074360601	2009-01-29	9.62	A
USGS	414525074360601	2009-01-30	9.64	A
USGS	414525074360601	2009-01-31	9.66	A
USGS	414525074360601	2009-02-01	9.69	A
USGS	414525074360601	2009-02-02	9.73	A
USGS	414525074360601	2009-02-03	9.77	A
USGS	414525074360601	2009-02-04	9.82	A
USGS	414525074360601	2009-02-05	9.86	A
USGS	414525074360601	2009-02-06	9.88	A
USGS	414525074360601	2009-02-07	9.91	A
USGS	414525074360601	2009-02-08	9.93	A
USGS	414525074360601	2009-02-09	9.87	A
USGS	414525074360601	2009-02-10	9.85	A
USGS	414525074360601	2009-02-11	9.82	A
USGS	414525074360601	2009-02-12	9.63	A
USGS	414525074360601	2009-02-13	9.05	A
USGS	414525074360601	2009-02-14	8.78	A
USGS	414525074360601	2009-02-15	8.77	A
USGS	414525074360601	2009-02-16	8.83	A
USGS	414525074360601	2009-02-17	8.88	A
USGS	414525074360601	2009-02-18	8.91	A
USGS	414525074360601	2009-02-19	8.94	A
USGS	414525074360601	2009-02-20	9.00	A
USGS	414525074360601	2009-02-21	9.09	A
USGS	414525074360601	2009-02-22	9.17	A
USGS	414525074360601	2009-02-23	9.25	A
USGS	414525074360601	2009-02-24	9.36	A
USGS	414525074360601	2009-02-25	9.43	A
USGS	414525074360601	2009-02-26	9.48	A
USGS	414525074360601	2009-02-27	9.51	A
USGS	414525074360601	2009-02-28	9.24	A
USGS	414525074360601	2009-03-01	8.98	A
USGS	414525074360601	2009-03-02	8.90	A
USGS	414525074360601	2009-03-03	8.91	A
USGS	414525074360601	2009-03-04	8.94	A
USGS	414525074360601	2009-03-05	9.00	A
USGS	414525074360601	2009-03-06	9.04	A
USGS	414525074360601	2009-03-07	8.95	A
USGS	414525074360601	2009-03-08	8.42	A
USGS	414525074360601	2009-03-09	7.15	A
USGS	414525074360601	2009-03-10	6.53	A
USGS	414525074360601	2009-03-11	6.39	A
USGS	414525074360601	2009-03-12	6.47	A
USGS	414525074360601	2009-03-13	6.72	A
USGS	414525074360601	2009-03-14	6.95	A
USGS	414525074360601	2009-03-15	7.16	A
USGS	414525074360601	2009-03-16	7.34	A
USGS	414525074360601	2009-03-17	7.48	A
USGS	414525074360601	2009-03-18	7.60	A
USGS	414525074360601	2009-03-19	7.72	A
USGS	414525074360601	2009-03-20	7.87	A
USGS	414525074360601	2009-03-21	8.07	A
USGS	414525074360601	2009-03-22	8.23	A
USGS	414525074360601	2009-03-23	8.38	A
USGS	414525074360601	2009-03-24	8.53	A
USGS	414525074360601	2009-03-25	8.65	A
USGS	414525074360601	2009-03-26	8.75	A
USGS	414525074360601	2009-03-27	8.77	A
USGS	414525074360601	2009-03-28	8.86	A
USGS	414525074360601	2009-03-29	8.91	A
USGS	414525074360601	2009-03-30	8.80	A
USGS	414525074360601	2009-03-31	8.74	A
USGS	414525074360601	2009-04-01	8.70	A
USGS	414525074360601	2009-04-02	8.66	A
USGS	414525074360601	2009-04-03	8.51	A
USGS	414525074360601	2009-04-04	8.05	A
USGS	414525074360601	2009-04-05	7.87	A
USGS	414525074360601	2009-04-06	7.85	A
USGS	414525074360601	2009-04-07	7.92	A
USGS	414525074360601	2009-04-08	8.02	A
USGS	414525074360601	2009-04-09	8.10	A
USGS	414525074360601	2009-04-10	8.18	A
USGS	414525074360601	2009-04-11	8.22	A
USGS	414525074360601	2009-04-12	8.30	A
USGS	414525074360601	2009-04-13	8.45	A
USGS	414525074360601	2009-04-14	8.57	A
USGS	414525074360601	2009-04-15	8.68	A
USGS	414525074360601	2009-04-16	8.82	A
USGS	414525074360601	2009-04-17	8.92	A
USGS	414525074360601	2009-04-18	9.02	A
USGS	414525074360601	2009-04-19	9.13	A
USGS	414525074360601	2009-04-20	9.20	A
USGS	414525074360601	2009-04-21	9.15	A
USGS	414525074360601	2009-04-22	9.06	A
USGS	414525074360601	2009-04-23	9.02	A
USGS	414525074360601	2009-04-24	9.03	A
USGS	414525074360601	2009-04-25	9.09	A
USGS	414525074360601	2009-04-26	9.18	A
USGS	414525074360601	2009-04-27	9.26	A
USGS	414525074360601	2009-04-28	9.32	A
USGS	414525074360601	2009-04-29	9.40	A
USGS	414525074360601	2009-04-30	9.47	A
USGS	414525074360601	2009-05-01	9.52	A
USGS	414525074360601	2009-05-02	9.57	A
USGS	414525074360601	2009-05-03	9.61	A
USGS	414525074360601	2009-05-04	9.65	A
USGS	414525074360601	2009-05-05	9.70	A
USGS	414525074360601	2009-05-06	9.72	A
USGS	414525074360601	2009-05-07	9.57	A
USGS	414525074360601	2009-05-08	9.39	A
USGS	414525074360601	2009-05-09	9.27	A
USGS	414525074360601	2009-05-10	9.17	A
USGS	414525074360601	2009-05-11	9.14	A
USGS	414525074360601	2009-05-12	9.21	A
USGS	414525074360601	2009-05-13	9.32	A
USGS	414525074360601	2009-05-14	9.38	A
USGS	414525074360601	2009-05-15	9.25	A
USGS	414525074360601	2009-05-16	9.15	A
USGS	414525074360601	2009-05-17	8.58	A
USGS	414525074360601	2009-05-18	8.19	A
USGS	414525074360601	2009-05-19	8.18	A
USGS	414525074360601	2009-05-20	8.25	A
USGS	414525074360601	2009-05-21	8.35	A
USGS	414525074360601	2009-05-22	8.51	A
USGS	414525074360601	2009-05-23	8.69	A
USGS	414525074360601	2009-05-24	8.83	A
USGS	414525074360601	2009-05-25	8.97	A
USGS	414525074360601	2009-05-26	9.09	A
USGS	414525074360601	2009-05-27	9.07	A
USGS	414525074360601	2009-05-28	9.10	A
USGS	414525074360601	2009-05-29	9.08	A
USGS	414525074360601	2009-05-30	8.96	A
USGS	414525074360601	2009-05-31	8.93	A
USGS	414525074360601	2009-06-01	9.04	A
USGS	414525074360601	2009-06-02	9.16	A
USGS	414525074360601	2009-06-03	9.24	A
USGS	414525074360601	2009-06-04	9.31	A
USGS	414525074360601	2009-06-05	9.37	A
USGS	414525074360601	2009-06-06	9.44	A
USGS	414525074360601	2009-06-07	9.50	A
USGS	414525074360601	2009-06-08	9.55	A
USGS	414525074360601	2009-06-09	9.54	A
USGS	414525074360601	2009-06-10	9.46	A
USGS	414525074360601	2009-06-11	9.42	A
USGS	414525074360601	2009-06-12	9.30	A
USGS	414525074360601	2009-06-13	9.18	A
USGS	414525074360601	2009-06-14	9.12	A
